GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Employees Dynamo Brest model,com.epam.brest2019.courses.model,Employee,52,52,0,0,1,22,1,15,1,15
Employees Dynamo Brest model,com.epam.brest2019.courses.model,Department,24,24,0,0,1,10,1,7,1,7
